Epoca: 144 | Loss: 0.6793 | Accuracy: 77.35%
Epoca: 145 | Loss: 0.6788 | Accuracy: 77.35%
Epoca: 146 | Loss: 0.6782 | Accuracy: 77.35%
Epoca: 147 | Loss: 0.6776 | Accuracy: 77.76%
Epoca: 148 | Loss: 0.6770 | Accuracy: 78.16%
Epoca: 149 | Loss: 0.6764 | Accuracy: 78.16%
Epoca: 150 | Loss: 0.6758 | Accuracy: 78.37%
Epoca: 151 | Loss: 0.6752 | Accuracy: 78.57%
Epoca: 152 | Loss: 0.6747 | Accuracy: 78.57%
Epoca: 153 | Loss: 0.6741 | Accuracy: 78.57%
Epoca: 154 | Loss: 0.6735 | Accuracy: 78.78%
Epoca: 155 | Loss: 0.6729 | Accuracy: 78.78%
Epoca: 156 | Loss: 0.6723 | Accuracy: 78.98%
Epoca: 157 | Loss: 0.6717 | Accuracy: 78.98%
Epoca: 158 | Loss: 0.6711 | Accuracy: 79.18%
Epoca: 159 | Loss: 0.6705 | Accuracy: 79.59%
Epoca: 160 | Loss: 0.6699 | Accuracy: 79.59%
Epoca: 161 | Loss: 0.6693 | Accuracy: 79.59%
Epoca: 162 | Loss: 0.6687 | Accuracy: 79.59%
Epoca: 163 | Loss: 0.6681 | Accuracy: 79.80%
Epoca: 164 | Loss: 0.6675 | Accuracy: 79.80%
Epoca: 165 | Loss: 0.6669 | Accuracy: 79.80%
Epoca: 166 | Loss: 0.6663 | Accuracy: 80.00%
Epoca: 167 | Loss: 0.6657 | Accuracy: 80.00%
Epoca: 168 | Loss: 0.6651 | Accuracy: 80.00%
Epoca: 169 | Loss: 0.6644 | Accuracy: 80.00%
Epoca: 170 | Loss: 0.6638 | Accuracy: 80.00%
Epoca: 171 | Loss: 0.6632 | Accuracy: 80.41%
Epoca: 172 | Loss: 0.6626 | Accuracy: 80.61%
Epoca: 173 | Loss: 0.6619 | Accuracy: 80.82%
Epoca: 174 | Loss: 0.6613 | Accuracy: 80.82%
Epoca: 175 | Loss: 0.6607 | Accuracy: 80.82%
Epoca: 176 | Loss: 0.6600 | Accuracy: 80.82%
Epoca: 177 | Loss: 0.6594 | Accuracy: 80.82%
Epoca: 178 | Loss: 0.6587 | Accuracy: 81.02%
Epoca: 179 | Loss: 0.6581 | Accuracy: 81.22%
Epoca: 180 | Loss: 0.6574 | Accuracy: 81.43%
Epoca: 181 | Loss: 0.6568 | Accuracy: 81.43%
Epoca: 182 | Loss: 0.6561 | Accuracy: 81.43%
Epoca: 183 | Loss: 0.6555 | Accuracy: 81.43%
Epoca: 184 | Loss: 0.6548 | Accuracy: 81.43%
Epoca: 185 | Loss: 0.6541 | Accuracy: 81.84%
Epoca: 186 | Loss: 0.6535 | Accuracy: 81.84%
Epoca: 187 | Loss: 0.6528 | Accuracy: 81.84%
Epoca: 188 | Loss: 0.6521 | Accuracy: 81.84%
Epoca: 189 | Loss: 0.6514 | Accuracy: 81.84%
