epoch,loss,accuracy
398,0.6476,77.14
399,0.6473,77.71
400,0.6470,78.00
401,0.6467,77.71
402,0.6465,77.71
403,0.6462,77.71
404,0.6459,77.71
405,0.6456,77.71
406,0.6453,77.71
407,0.6449,77.71
408,0.6446,77.71
409,0.6443,77.71
410,0.6440,77.71
411,0.6437,77.71
412,0.6434,78.00
413,0.6430,78.29
414,0.6427,78.29
415,0.6424,78.29
416,0.6421,78.29
417,0.6417,78.29
418,0.6414,78.29
419,0.6411,78.29
420,0.6407,78.29
421,0.6404,78.29
422,0.6400,78.57
423,0.6397,78.57
424,0.6393,78.57
425,0.6390,78.86
426,0.6386,78.57
427,0.6383,78.57
428,0.6379,78.57
429,0.6375,79.14
430,0.6372,79.14
431,0.6368,79.14
432,0.6364,79.14
433,0.6360,79.43
434,0.6357,79.43
435,0.6353,79.14
436,0.6349,79.14
437,0.6345,79.14
438,0.6341,79.14
439,0.6337,79.14
440,0.6333,79.14
441,0.6329,79.14
442,0.6325,79.14
443,0.6321,79.14
444,0.6317,79.14
445,0.6313,79.43
446,0.6308,79.71
447,0.6304,79.71
448,0.6300,79.71
449,0.6295,79.71
450,0.6291,80.00
451,0.6287,80.00
452,0.6282,80.00
453,0.6278,80.00
454,0.6273,80.29
455,0.6269,80.29
456,0.6264,80.29
457,0.6259,80.57
458,0.6255,80.86
459,0.6250,80.86
460,0.6245,80.86
461,0.6241,80.86
462,0.6236,81.43
463,0.6231,81.71
464,0.6226,81.71
465,0.6221,81.71
466,0.6216,81.71
467,0.6211,81.71
468,0.6206,81.71
469,0.6201,81.71
470,0.6195,81.71
471,0.6190,81.71
472,0.6185,82.00
473,0.6179,82.00
474,0.6174,82.00
475,0.6169,82.00
476,0.6163,82.00
477,0.6158,82.29
478,0.6152,82.57
479,0.6146,82.57
480,0.6141,82.57
481,0.6135,82.57
482,0.6129,82.29
483,0.6124,82.57
484,0.6118,82.29
485,0.6112,82.29
486,0.6106,82.86
487,0.6100,83.14
488,0.6094,83.43
489,0.6088,83.43
490,0.6081,83.43
491,0.6075,83.43
492,0.6069,83.43
493,0.6063,83.43
494,0.6056,83.43
495,0.6050,83.71
496,0.6044,84.00
497,0.6037,84.00
498,0.6030,84.29
499,0.6024,84.57
500,0.6017,84.57
